@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,cadical_hack_gb,1.823,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,cadical_Less_UP,1.418,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,cadical_PriPro,2.091,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,cadical_rp,1.868,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,cadical_sc2021,1.813,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,cadical_SCAVEL01,40.206,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,cleanMaple,39.701,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,hCaD,3.78,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,hKis,2.956,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_bonus,0.867,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_cf,2.305,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_gb,1.224,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_MAB,1.233,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_sat_crvr_gb,0.904,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_sc2021,1.349,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_sc2021_sat,1.741,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,kissat_sc2021_sweep,2.076,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,lstech_maple,6.71,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,Maple_MBDR_BJL6_Tier2,11.494,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,Maple_simp21,2.501,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,MapleSSV,7.8,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,opsat_R21,2.497,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,ParaFORST,1.816,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,ParaFORST_NoMDM,2.198,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,Relaxed_LCFTP,13.342,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,Relaxed_LCMDCBDL_SCAVEL01,20.774,ok
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,slime,10.355,ok
datas/sc2002/industrial/goldberg/hard_eq_check/alu4mul.miter.shuffled-as.sat03-344.cnf,1,cadical_hack_gb,217.611,ok
datas/sc2002/industrial/goldberg/hard_eq_check/alu4mul.miter.shuffled-as.sat03-344.cnf,1,cadical_Less_UP,151.55,ok
datas/sc2002/industrial/goldberg/hard_eq_check/alu4mul.miter.shuffled-as.sat03-344.cnf,1,cadical_PriPro,179.294,ok
datas/sc2002/industrial/goldberg/hard_eq_check/alu4mul.miter.shuffled-as.sat03-344.cnf,1,cadical_rp,175.67,ok
datas/sc2002/industrial/goldberg/hard_eq_check/alu4mul.miter.shuffled-as.sat03-344.cnf,1,cadical_sc2021,162.823,ok
datas/sc2002/industrial/goldberg/hard_eq_check/alu4mul.miter.shuffled-as.sat03-344.cnf,1,cadical_SCAVEL01,206.755,ok
