@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre-featuretime NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE Basic-featuretime NUMERIC
@ATTRIBUTE VCG-VAR-mean NUMERIC
@ATTRIBUTE VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE VCG-VAR-min NUMERIC
@ATTRIBUTE VCG-VAR-max NUMERIC
@ATTRIBUTE VCG-VAR-entropy NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE HORNY-VAR-mean NUMERIC
@ATTRIBUTE HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE HORNY-VAR-min NUMERIC
@ATTRIBUTE HORNY-VAR-max NUMERIC
@ATTRIBUTE HORNY-VAR-entropy NUMERIC
@ATTRIBUTE horn-clauses-fraction NUMERIC
@ATTRIBUTE VG-mean NUMERIC
@ATTRIBUTE VG-coeff-variation NUMERIC
@ATTRIBUTE VG-min NUMERIC
@ATTRIBUTE VG-max NUMERIC
@ATTRIBUTE KLB-featuretime NUMERIC
@ATTRIBUTE CG-mean NUMERIC
@ATTRIBUTE CG-coeff-variation NUMERIC
@ATTRIBUTE CG-min NUMERIC
@ATTRIBUTE CG-max NUMERIC
@ATTRIBUTE CG-entropy NUMERIC
@ATTRIBUTE cluster-coeff-mean NUMERIC
@ATTRIBUTE cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE cluster-coeff-min NUMERIC
@ATTRIBUTE cluster-coeff-max NUMERIC
@ATTRIBUTE cluster-coeff-entropy NUMERIC
@ATTRIBUTE CG-featuretime NUMERIC
@ATTRIBUTE DIAMETER-mean NUMERIC
@ATTRIBUTE DIAMETER-coeff-variation NUMERIC
@ATTRIBUTE DIAMETER-min NUMERIC
@ATTRIBUTE DIAMETER-max NUMERIC
@ATTRIBUTE DIAMETER-entropy NUMERIC
@ATTRIBUTE DIAMETER-featuretime NUMERIC
@ATTRIBUTE cl-num-mean NUMERIC
@ATTRIBUTE cl-num-coeff-variation NUMERIC
@ATTRIBUTE cl-num-min NUMERIC
@ATTRIBUTE cl-num-max NUMERIC
@ATTRIBUTE cl-num-q90 NUMERIC
@ATTRIBUTE cl-num-q10 NUMERIC
@ATTRIBUTE cl-num-q75 NUMERIC
@ATTRIBUTE cl-num-q25 NUMERIC
@ATTRIBUTE cl-num-q50 NUMERIC
@ATTRIBUTE cl-size-mean NUMERIC
@ATTRIBUTE cl-size-coeff-variation NUMERIC
@ATTRIBUTE cl-size-min NUMERIC
@ATTRIBUTE cl-size-max NUMERIC
@ATTRIBUTE cl-size-q90 NUMERIC
@ATTRIBUTE cl-size-q10 NUMERIC
@ATTRIBUTE cl-size-q75 NUMERIC
@ATTRIBUTE cl-size-q25 NUMERIC
@ATTRIBUTE cl-size-q50 NUMERIC
@ATTRIBUTE cl-featuretime NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE sp-featuretime NUMERIC
@ATTRIBUTE vars-reduced-depth-1 NUMERIC
@ATTRIBUTE vars-reduced-depth-4 NUMERIC
@ATTRIBUTE vars-reduced-depth-16 NUMERIC
@ATTRIBUTE vars-reduced-depth-64 NUMERIC
@ATTRIBUTE vars-reduced-depth-256 NUMERIC
@ATTRIBUTE unit-featuretime NUMERIC
@ATTRIBUTE lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE lobjois-log-num-nodes-over-vars NUMERIC
@ATTRIBUTE lobjois-featuretime NUMERIC

@DATA
./datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,840,64138,812,63298,0.034482759,0.013270561,1.15,0.012828209,0.49367365,1.006586502,0,1,0.842799844,0.003524886,1.972517309,0.002463054,0.071428571,0.14364226,0,0.974596354,0.974596354,0.01,0.003524886,0.179703631,0.002053777,0.00571898,4.409524645,0.371372284,0.053120758,0.224,0.502702703,2.752253595,0.001700962,0.436703665,0.000663528,0.004186546,4.431799064,0.69059054,0.012812411,0,0.012812411,0.012812411,0.03,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,2,0,2,2,0,6.18,538,0.925853329,91,1233,1233,91,1233,91,290,76.89396529,0.065181647,71.75824176,83.69261963,83.69261963,71.75824176,83.69261963,71.75824176,75.23103448,2.02,0.897813155,0.0153613,0.848697164,0.939982367,0.915511976,0.881593251,0.907301762,0.889532134,0.898204036,4.50E-06,3.577401589,0,0.00020479,8.27E-06,4.00E-09,1.87E-06,4.90E-08,3.65E-07,2.24,0,0.278325123,0.836206897,0.886699507,0.886699507,0.68,0.848556063,0.931259481,2.01
./datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,140,51986,140,51986,0,0,1.25,0.002693033,0.24573539,0.8076876,0,1,1.352075595,0.0713901,0.01641046,0.035714286,0.071428571,0.008437637,0,0,0,0.01,0.0713901,0.200744779,0.041011041,0.10448967,2.059142624,0.06314879,0.034930182,0.003752345,0.102356406,1.703186911,0.000775621,0.265135166,0.000307775,0.00132728,2.89874554,0.01096449,0.002673797,0,0.002673797,0.002673797,0.05,-1,0,-1,0,-512,-1,0,-1,0,0,20.98,2,0,2,2,0,1.25,1641.714286,0.235582378,1127,2273,2273,1127,1950,1231,1671,22.78292291,0.148923259,18.46303818,28.17509899,28.17509899,18.46303818,25.87976382,19.47116238,21.49850389,2.01,0.121301741,0.5323635,0.007344118,0.18717485,0.184760309,0.009260558,0.170281639,0.088578086,0.154504335,0.494325335,0.001743192,0.492286983,0.496204715,0.495365618,0.492787996,0.494954422,0.493873984,0.494581166,1.99,0,0,0,0,0.057142857,0.33,0.548214286,0.686158861,2.01
./datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,780,70750,754,69970,0.034482759,0.011147635,1.31,0.010776047,0.494073213,1.005932205,0,1,0.83666878,0.003800587,1.905063479,0.00265252,0.076923077,0.143597965,0,0.973174218,0.973174218,0.02,0.003800587,0.154429392,0.002515364,0.005988281,4.398545947,0.364358977,0.081106332,0.191666667,0.53133515,2.851516034,0.001847893,0.419326174,0.0007003,0.004559097,4.603106577,0.69665571,0.010761755,0,0.010761755,0.010761755,0.04,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,2,0,2,2,0,6.64,742.3333333,0.905245909,118,1675,1675,118,1675,118,434,68.5655762,0.081877667,61.4078341,75.11940299,75.11940299,61.4078341,75.11940299,61.4078341,69.16949153,2.02,0.893522652,0.020800302,0.848074398,0.934049007,0.921166014,0.869423423,0.906532177,0.878850759,0.894370097,3.15E-07,3.490937998,0,1.55E-05,6.82E-07,0,1.36E-07,1.00E-09,1.70E-08,2.26,0,0.526525199,0.880636605,0.880636605,0.880636605,0.55,0.899852958,0.959580583,2
./datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,130,59466,130,59466,0,0,1.46,0.002186123,0.248868261,0.807451631,0,1,1.363857311,0.076889444,0.014785543,0.038461538,0.076923077,0.007031865,0,0,0,0.01,0.076889444,0.111895611,0.060000673,0.094440521,1.971384433,0.065456815,0.041793005,0.011210762,0.13034188,1.696280513,0.000946889,0.296879015,0.000336327,0.00151347,3.044820482,0.012410453,0.002169307,0,0.002169307,0.002169307,0.06,-1,0,-1,0,-512,-1,0,-1,0,0,23.64,2,0,2,2,0,1.61,2169.166667,0.162437363,1874,2881,2881,1874,2336,1901,2040,22.31201655,0.096266603,19.70735294,25.3068379,25.3068379,19.70735294,24.79880137,20.51657023,22.75491679,2,0.119347291,0.638514698,0.008167331,0.230876946,0.229038566,0.016034128,0.167825825,0.056058145,0.128193984,0.493119425,0.001257427,0.491772325,0.494406701,0.493802583,0.49224541,0.493496606,0.492683746,0.493171613,2.48,0,0,0,0,0.015384615,0.35,0.533828671,0.651855402,2.01
./datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,450,28508,435,28058,0.034482759,0.016038207,0.37,0.0155036,0.492112181,1.013765513,0,1,0.765590551,0.005505755,1.68849054,0.004597701,0.133333333,0.071882054,0,0.989343503,0.989343503,0.01,0.005505755,0.152505377,0.003421484,0.007448856,3.469473209,0.650041151,0.061307111,0.5,0.821917808,2.765016546,0.003499975,0.36532919,0.001247416,0.006486564,3.923929809,0.761244565,0.015467959,0,0.015467959,0.015467959,0,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,2,0,2,2,0,0.66,546.25,0.423251727,102,852,767,150,751,476,652,73.81696386,0.138174432,58.2417962,89.18627451,87.31333333,60.14877301,83.81807512,66.54593875,75.15336135,2.01,0.934509735,0.01688061,0.894193672,0.990472393,0.94707505,0.912689554,0.942529148,0.930231618,0.937123118,0.000603241,1.544168827,1.29E-05,0.005798266,0.002089703,4.21E-05,0.000544335,0.0001004,0.000224307,0.65,0.275862069,0.275862069,0.912643678,0.924137931,0.924137931,0.11,0.974013206,0.986685142,2
./datas/sc2002/handmade/anton/UNSAT/SGI_30_40_30_20_2-dir.shuffled-as.sat03-104.cnf,1,900,65258,870,64358,0.034482759,0.013984275,1.5,0.013518133,0.483325775,1.0245425,0,1,0.901139216,0.003738249,1.847538406,0.002298851,0.066666667,0.201716564,0,0.956726436,0.956726436,0.01,0.003738249,0.205540396,0.00219087,0.006028777,4.763936455,0.203141399,0.046818823,0.090322581,0.4,2.903753097,0.001691258,0.383059646,0.000574909,0.003744678,4.83111252,0.735697194,0.006404798,0.213901994,0.002905622,0.011218497,0.04,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,3,0,3,3,0,7.03,1121,1.214026554,92,3463,3463,92,3463,428,501,65.50807268,0.231680932,48.88023952,86.41322553,86.41322553,48.88023952,86.41322553,53.40186916,73.33695652,1.99,0.869518947,0.01686325,0.827416088,0.931148676,0.887670136,0.851365376,0.879642489,0.8591588,0.869964897,1.89E-06,3.520776723,0,7.77E-05,5.94E-06,0,1.97E-07,1.00E-09,1.40E-08,2.35,0,0.163218391,0.612643678,0.612643678,0.612643678,0.53,0.682758621,0.906194929,2
./datas/sc2002/handmade/anton/UNSAT/SGI_30_40_30_20_2-log.shuffled-as.sat03-105.cnf,1,150,52238,150,52238,0,0,1.29,0.002871473,0.246035453,0.808462217,0,1,1.354120626,0.06662838,0.016945418,0.033333333,0.066666667,0.008922983,0,0,0,0.01,0.06662838,0.230942037,0.037214288,0.098778667,1.736740746,0.051461426,0.023604258,0.00617284,0.072868217,1.31678912,0.000765726,0.26925824,0.000268004,0.001129446,2.967867469,0.011562464,0.00285233,0,0.00285233,0.00285233,0.07,-1,0,-1,0,-512,-1,0,-1,0,0,22.09,2,0,2,2,0,1.53,1677.285714,0.170893371,1278,2216,2216,1278,1847,1395,1693,18.10027086,0.130611137,15.12519562,22.0916065,22.0916065,15.12519562,20.70438549,15.9921147,17.3975192,1.99,0.102768253,0.452557128,0.01192147,0.141168983,0.141105092,0.016040355,0.132065165,0.09121262,0.13146094,0.494578938,0.001833349,0.492629119,0.49638923,0.496274098,0.493851604,0.49509382,0.49388514,0.494483971,2.23,0,0,0,0,0.013333333,0.3,0.5305,0.668948657,2.02
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_1-dir.shuffled-as.sat03-106.cnf,1,900,69990,870,69090,0.034482759,0.013026487,1.62,0.012592271,0.491730021,1.007326437,0,1,0.892472691,0.003625822,1.995272798,0.002298851,0.066666667,0.186888911,0,0.96417716,0.96417716,0.01,0.003625822,0.19693549,0.002142133,0.005948762,4.764396834,0.239138218,0.061374415,0.123028391,0.4,3.079908735,0.001711245,0.397098696,0.000492112,0.003575047,4.655581248,0.744391374,0.012577797,0,0.012577797,0.012577797,0.04,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,2,0,2,2,0,7.18,1012.25,1.104451324,192,2939,2939,192,2939,426,492,68.43041039,0.032421172,65.24647887,71.50425315,71.50425315,65.24647887,71.50425315,68.265625,68.70528455,2.02,0.880729118,0.020525362,0.831967332,0.926381096,0.903904139,0.855633829,0.894445675,0.867261783,0.882470858,1.48E-06,3.246510739,0,3.64E-05,2.94E-06,0,2.46E-07,1.00E-09,2.50E-08,2.33,0,0.224137931,0.866666667,0.866666667,0.866666667,0.77,0.751138582,0.926756184,2.01
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf,1,150,56970,150,56970,0,0,1.36,0.002632965,0.246375285,0.806156945,0,1,1.354093883,0.06663156,0.016226411,0.033333333,0.066666667,0.008273206,0,0,0,0.02,0.06663156,0.215722812,0.037949798,0.098332456,2.008418052,0.046985629,0.022857184,0.002775208,0.068903963,1.331289492,0.000686911,0.267173968,0.000298403,0.001053186,2.950425864,0.010391434,0.002615412,0,0.002615412,0.002615412,0.11,-1,0,-1,0,-512,-1,0,-1,0,0,25.61,2,0,2,2,0,1.62,1472.125,0.133915138,1077,1695,1695,1077,1635,1467,1548,18.022403,0.074058567,16.19359237,20.34174757,20.34174757,16.19359237,19.26744186,17.5264624,18.21238938,1.99,0.094996962,0.48436292,0.005168772,0.135496128,0.135396058,0.006397812,0.123581457,0.097249131,0.110647645,0.494204294,0.001894929,0.492086138,0.4961305,0.495557104,0.493102098,0.49467457,0.493598466,0.494110012,2.4,0,0,0,0,0.026666667,0.47,0.523265306,0.650049729,2.01
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_3-dir.shuffled-as.sat03-108.cnf,1,900,71378,870,70478,0.034482759,0.012769942,1.33,0.012344278,0.487962188,1.018869134,0,1,0.838183295,0.003320462,1.984925679,0.002298851,0.066666667,0.147421171,0,0.973764863,0.973764863,0.02,0.003320462,0.177798555,0.001986435,0.005803229,4.44853626,0.358936729,0.045153083,0.251655629,0.481268012,2.712084001,0.001654547,0.398770582,0.000638497,0.004214081,4.465991553,0.719728142,0.012330089,0,0.012330089,0.012330089,0.03,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,2,0,2,2,0,6.73,714.3333333,1.061702445,101,1783,1783,101,1783,101,259,73.70194695,0.148336271,59.46332046,86.03960396,86.03960396,59.46332046,86.03960396,59.46332046,75.60291643,2,0.89455013,0.014683516,0.845136478,0.929233557,0.910037858,0.877694038,0.903339974,0.88699589,0.895645489,2.01E-06,4.059355941,0,9.07E-05,2.40E-06,2.00E-09,4.59E-07,1.70E-08,1.02E-07,2.34,0.170114943,0.170114943,0.762068966,0.848275862,0.848275862,0.67,0.755488769,0.922820537,2
