@RELATION FEATURES_RUNSTATUS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL {ok, timeout, memout, not_applicable, crash, other}

@DATA
./datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,ok
./datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,ok
./datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,ok
./datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,ok
./datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_40_30_20_2-dir.shuffled-as.sat03-104.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_40_30_20_2-log.shuffled-as.sat03-105.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_1-dir.shuffled-as.sat03-106.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_3-dir.shuffled-as.sat03-108.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_3-log.shuffled-as.sat03-109.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_5-dir.shuffled-as.sat03-110.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_19_60_6-dir.shuffled-as.sat03-112.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_19_60_6-log.shuffled-as.sat03-113.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_20_50_3-log.shuffled-as.sat03-115.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_23_50_8-dir.shuffled-as.sat03-116.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_23_50_8-log.shuffled-as.sat03-117.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_24_40_2-log.shuffled-as.sat03-119.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_25_40_2-dir.shuffled-as.sat03-120.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_25_40_2-log.shuffled-as.sat03-121.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_40_10-dir.shuffled-as.sat03-122.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_40_10-log.shuffled-as.sat03-123.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_40_2-dir.shuffled-as.sat03-124.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_40_2-log.shuffled-as.sat03-125.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_40_7-dir.shuffled-as.sat03-126.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_40_7-log.shuffled-as.sat03-127.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_50_8-dir.shuffled-as.sat03-128.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_28_50_8-log.shuffled-as.sat03-129.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_29_30_6-dir.shuffled-as.sat03-130.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_29_30_6-log.shuffled-as.sat03-131.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_30_30_2-dir.shuffled-as.sat03-132.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_30_30_2-log.shuffled-as.sat03-133.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_30_40_6-dir.shuffled-as.sat03-134.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_60_30_40_6-log.shuffled-as.sat03-135.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_15_90_1-dir.shuffled-as.sat03-136.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_15_90_1-log.shuffled-as.sat03-137.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_16_90_5-dir.shuffled-as.sat03-138.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_16_90_5-log.shuffled-as.sat03-139.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_18_80_10-log.shuffled-as.sat03-141.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_19_80_8-dir.shuffled-as.sat03-142.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,ok
./datas/sc2002/handmade/anton/UNSAT/SGI_30_70_20_60_10-log.shuffled-as.sat03-145.cnf,1,ok
